Date,Open,High,Low,Close,Volume
2022-01-03 00:00:00-05:00,175.35920954320588,180.33904722092433,175.24088165318517,179.4811248779297,104487900
2022-01-04 00:00:00-05:00,180.09251449012075,180.3982048932326,176.6312733595524,177.20321655273438,99310400
2022-01-05 00:00:00-05:00,177.1144469460556,177.66666373545723,172.2135003699476,172.48960876464844,94537600
2022-01-06 00:00:00-05:00,170.30050067262465,172.86438225342914,169.25523073556508,169.6102294921875,96904000
2022-01-07 00:00:00-05:00,170.48781408107757,171.7204462075955,168.65365687494773,169.77781677246094,86709100
2022-01-10 00:00:00-05:00,166.73078696108706,170.10326732504808,165.83342698310116,169.79757690429688,106765600
2022-01-11 00:00:00-05:00,169.92576841404195,172.74601671871378,168.44660962929626,172.6474151611328,76138300
2022-01-12 00:00:00-05:00,173.6729395271779,174.7182092125996,172.3910140921692,173.0911407470703,74805200
2022-01-13 00:00:00-05:00,173.3376934652253,174.1660188079283,169.40312551721314,169.79757690429688,84505800
2022-01-14 00:00:00-05:00,168.9593552022639,171.36545563417326,168.71282876533513,170.6653289794922,80440800
2022-01-18 00:00:00-05:00,169.12699784780307,170.14268560308685,167.0561847264003,167.44076538085938,90956700
2022-01-19 00:00:00-05:00,167.63797188722026,168.70296786717608,163.6343850837513,163.92034912109375,94815000
2022-01-20 00:00:00-05:00,164.65995642068953,167.32243930012962,161.89885693406282,162.22427368164062,91420500
2022-01-21 00:00:00-05:00,162.13550957191273,164.018975211671,160.0449701457903,160.1534423828125,122848900
2022-01-24 00:00:00-05:00,157.79665985879413,160.04497995783998,152.5505695964999,159.37442016601562,162294600
2022-01-25 00:00:00-05:00,156.7711098389491,160.4985888913189,154.83835072494045,157.55999755859375,115798400
2022-01-26 00:00:00-05:00,161.2283134857919,162.10594712858335,155.62723923669182,157.47125244140625,108275300
2022-01-27 00:00:00-05:00,160.19289981375917,161.56358640748118,156.0808400325931,157.00778198242188,121954600
2022-01-28 00:00:00-05:00,163.40759041604127,167.9831204931329,160.53801907296466,167.96339416503906,179935700
2022-01-31 00:00:00-05:00,167.79575873097082,172.56850696964707,167.15478096273003,172.3515625,115541600
2022-02-01 00:00:00-05:00,171.59230558054043,172.41077539447485,169.91592833189162,172.18397521972656,86213900
2022-02-02 00:00:00-05:00,172.32198364695827,173.43628798422293,170.92171525641345,173.39683532714844,84914300
2022-02-03 00:00:00-05:00,172.0556987811376,173.79125424595492,169.72848899158657,170.49765014648438,89418100
2022-02-04 00:00:00-05:00,169.51031577687917,171.89974528421982,168.52295369038956,170.2113494873047,82465400
2022-02-07 00:00:00-05:00,170.6754322247577,171.7516534178389,168.78956678781253,169.4906005859375,77251200
